experiment,instance,dataset,size_category,n,m,graph_density,graph_components,consistency_check,timeout_used,max_nodes_limit,max_edges_limit,golden_standard,method,treedepth,time,status,timeout,preprocessing_enabled,encoding_variant,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,preprocessing_reduction,memory_usage_mb,is_correct,validation_status,error_type
E4_6_ilp_vs_sat_unified_fixed,Bull,famous,TINY,5,5,0.5,1,inconsistent,1200,15,10000,3,ILP,3,0.005,optimal,False,False,v5_enhanced_constraints,False,False,2,61,222,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Bull,famous,TINY,5,5,0.5,1,inconsistent,1200,15,10000,3,SAT,3,3.532,optimal,False,False,sat_original_paper,False,False,0,45,250,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Bull,famous,TINY,5,5,0.5,1,inconsistent,1200,15,10000,3,SAT-TREE,2,1.777,optimal,False,False,sat_tree_structure_fixed,False,False,0,121,450,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Butterfly,famous,TINY,5,6,0.6,1,consistent,1200,15,10000,3,ILP,3,0.005,optimal,False,False,v5_enhanced_constraints,False,False,2,61,223,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Butterfly,famous,TINY,5,6,0.6,1,consistent,1200,15,10000,3,SAT,3,3.556,optimal,False,False,sat_original_paper,False,False,0,45,254,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Butterfly,famous,TINY,5,6,0.6,1,consistent,1200,15,10000,3,SAT-TREE,3,2.64,optimal,False,False,sat_tree_structure_fixed,False,False,0,136,496,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Chvatal,famous,SMALL,12,24,0.3636,1,inconsistent,1200,15,10000,8,ILP,8,0.964,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2184,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Chvatal,famous,SMALL,12,24,0.3636,1,inconsistent,1200,15,10000,8,SAT,8,5.339,optimal,False,False,sat_original_paper,False,False,0,624,7836,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Chvatal,famous,SMALL,12,24,0.3636,1,inconsistent,1200,15,10000,8,SAT-TREE,2,1.794,optimal,False,False,sat_tree_structure_fixed,False,False,0,709,5071,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Diamond,famous,TINY,4,5,0.8333,1,inconsistent,1200,15,10000,3,ILP,3,0.003,optimal,False,False,v5_enhanced_constraints,False,False,2,41,131,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Diamond,famous,TINY,4,5,0.8333,1,inconsistent,1200,15,10000,3,SAT,3,2.633,optimal,False,False,sat_original_paper,False,False,0,30,144,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Diamond,famous,TINY,4,5,0.8333,1,inconsistent,1200,15,10000,3,SAT-TREE,2,1.776,optimal,False,False,sat_tree_structure_fixed,False,False,0,77,252,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Durer,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,ILP,7,1.492,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Durer,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,SAT,7,6.231,optimal,False,False,sat_original_paper,False,False,0,546,6780,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Durer,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,SAT-TREE,2,1.916,optimal,False,False,sat_tree_structure_fixed,False,False,0,709,5065,2,0.0,0,0.0,0.0,False,error,underestimate
E4_6_ilp_vs_sat_unified_fixed,Franklin,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,ILP,7,2.222,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2178,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Franklin,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,SAT,7,6.549,optimal,False,False,sat_original_paper,False,False,0,546,6780,7,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified_fixed,Franklin,famous,SMALL,12,18,0.2727,1,inconsistent,1200,15,10000,7,SAT-TREE,2,2.003,optimal,False,False,sat_tree_structure_fixed,False,False,0,709,5065,2,0.0,0,0.0,0.0,False,error,underestimate
