experiment,instance,dataset,size_category,n,m,graph_density,graph_components,consistency_check,timeout_used,max_nodes_limit,max_edges_limit,golden_standard,method,treedepth,time,status,timeout,preprocessing_enabled,encoding_variant,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,preprocessing_reduction,memory_usage_mb,is_correct,validation_status,error_type
E4_6_ilp_vs_sat_unified,Brinkmann,famous,MEDIUM,21,42,0.2,1,consistent,1200,50,10000,11,ILP,11,590.262,optimal,False,False,v5_enhanced_constraints,False,False,2,925,10536,11,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Brinkmann,famous,MEDIUM,21,42,0.2,1,consistent,1200,50,10000,11,SAT,11,387.477,optimal,False,False,sat_original_paper,False,False,0,2541,54222,11,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Bull,famous,TINY,5,5,0.5,1,consistent,1200,50,10000,3,ILP,3,0.005,optimal,False,False,v5_enhanced_constraints,False,False,2,61,222,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Bull,famous,TINY,5,5,0.5,1,consistent,1200,50,10000,3,SAT,3,3.15,optimal,False,False,sat_original_paper,False,False,0,45,250,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Butterfly,famous,TINY,5,6,0.6,1,consistent,1200,50,10000,3,ILP,3,0.005,optimal,False,False,v5_enhanced_constraints,False,False,2,61,223,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Butterfly,famous,TINY,5,6,0.6,1,consistent,1200,50,10000,3,SAT,3,3.242,optimal,False,False,sat_original_paper,False,False,0,45,254,3,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Chvatal,famous,SMALL,12,24,0.3636,1,consistent,1200,50,10000,8,ILP,8,0.911,optimal,False,False,v5_enhanced_constraints,False,False,2,313,2184,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Chvatal,famous,SMALL,12,24,0.3636,1,consistent,1200,50,10000,8,SAT,8,4.95,optimal,False,False,sat_original_paper,False,False,0,624,7836,8,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Clebsch,famous,SMALL,16,40,0.3333,1,consistent,1200,50,10000,10,ILP,10,15.258,optimal,False,False,v5_enhanced_constraints,False,False,2,545,4874,10,0.0,0,0.0,0.0,True,correct_optimal,
E4_6_ilp_vs_sat_unified,Clebsch,famous,SMALL,16,40,0.3333,1,consistent,1200,50,10000,10,SAT,10,10.147,optimal,False,False,sat_original_paper,False,False,0,1360,22496,10,0.0,0,0.0,0.0,True,correct_optimal,
