experiment,instance,dataset,size_category,n,m,component_config,config_description,treedepth,time,status,timeout,preprocessing_enabled,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,encoding_variant,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,graph_density,graph_components,preprocessing_reduction,memory_usage_mb,golden_standard,is_correct,validation_status,error_type
E4_4_components,Brinkmann,famous,MEDIUM,21,42,baseline,基线配置(全部启用),12.0,120.101,timeout,True,False,True,True,2,v1_baseline,925,1869,12.0,0.4166666666666667,61736,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,no_mipstart,禁用MIPStart,15.0,120.103,timeout,True,False,False,True,2,v1_baseline,925,1869,15.0,0.5333333333333333,73943,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,no_lazy,禁用Lazy约束,12.0,120.176,timeout,True,False,True,False,2,v1_baseline,925,9849,12.0,0.4166666666666667,12327,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,no_gurobi_presolve,禁用Gurobi预处理,13.0,120.118,timeout,True,False,True,True,0,v1_baseline,925,1869,13.0,0.46153846153846156,57965,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,minimal,最小配置(全部禁用),11.0,120.146,timeout,True,False,False,False,0,v1_baseline,925,9849,11.0,0.2727272727272727,18750,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,mipstart_only,仅MIPStart,11.0,120.183,timeout,True,False,True,False,0,v1_baseline,925,9849,11.0,0.36363636363636365,13254,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,lazy_only,仅Lazy约束,12.0,120.118,timeout,True,False,False,True,0,v1_baseline,925,1869,12.0,0.4166666666666667,124066,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Brinkmann,famous,MEDIUM,21,42,presolve_only,仅Gurobi预处理,11.0,120.151,timeout,True,False,False,False,2,v1_baseline,925,9849,11.0,0.36363636363636365,16139,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_4_components,Bull,famous,TINY,5,5,baseline,基线配置(全部启用),3.0,0.006,optimal,False,False,True,True,2,v1_baseline,61,120,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,no_mipstart,禁用MIPStart,3.0,0.007,optimal,False,False,False,True,2,v1_baseline,61,120,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,no_lazy,禁用Lazy约束,3.0,0.007,optimal,False,False,True,False,2,v1_baseline,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,no_gurobi_presolve,禁用Gurobi预处理,3.0,0.003,optimal,False,False,True,True,0,v1_baseline,61,120,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,minimal,最小配置(全部禁用),3.0,0.007,optimal,False,False,False,False,0,v1_baseline,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,mipstart_only,仅MIPStart,3.0,0.004,optimal,False,False,True,False,0,v1_baseline,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,lazy_only,仅Lazy约束,3.0,0.005,optimal,False,False,False,True,0,v1_baseline,61,120,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Bull,famous,TINY,5,5,presolve_only,仅Gurobi预处理,3.0,0.008,optimal,False,False,False,False,2,v1_baseline,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,baseline,基线配置(全部启用),3.0,0.006,optimal,False,False,True,True,2,v1_baseline,61,121,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,no_mipstart,禁用MIPStart,3.0,0.005,optimal,False,False,False,True,2,v1_baseline,61,121,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,no_lazy,禁用Lazy约束,3.0,0.007,optimal,False,False,True,False,2,v1_baseline,61,181,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,no_gurobi_presolve,禁用Gurobi预处理,3.0,0.003,optimal,False,False,True,True,0,v1_baseline,61,121,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,minimal,最小配置(全部禁用),3.0,0.003,optimal,False,False,False,False,0,v1_baseline,61,181,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,mipstart_only,仅MIPStart,3.0,0.004,optimal,False,False,True,False,0,v1_baseline,61,181,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
E4_4_components,Butterfly,famous,TINY,5,6,lazy_only,仅Lazy约束,3.0,0.003,optimal,False,False,False,True,0,v1_baseline,61,121,3.0,0.0,1,0.6,1,0.0,0.0,3.0,True,correct_optimal,
